,departure_time,arrival_time,duration,price,number_of_stops,airline
0,2023-10-22 07:40:00,2023-10-22 09:20:00,0 days 02:40:00,91.0,0,1. Finnair
1,2023-10-22 09:20:00,2023-10-23 09:10:00,0 days 12:50:00,84.0,1,1. airBaltic
2,2023-10-22 01:40:00,2023-10-22 03:15:00,0 days 02:35:00,172.0,0,1. Lufthansa
3,2023-10-22 04:55:00,2023-10-22 06:35:00,0 days 02:40:00,192.0,0,1. Finnair
4,2023-10-22 06:10:00,2023-10-22 07:45:00,0 days 02:35:00,204.0,0,1. Lufthansa
5,2023-10-22 09:00:00,2023-10-22 06:30:00,0 days 10:30:00,133.0,1,1. airBaltic
6,2023-10-22 07:00:00,2023-10-22 11:00:00,0 days 05:00:00,188.0,1,1. KLM
7,2023-10-22 06:10:00,2023-10-22 10:00:00,0 days 04:50:00,194.0,1,1. Lufthansa
8,2023-10-22 12:45:00,2023-10-22 04:00:00,0 days 04:15:00,219.0,1,1. Lufthansa
9,2023-10-22 06:10:00,2023-10-22 11:00:00,0 days 05:50:00,194.0,1,1. Lufthansa
10,2023-10-22 06:20:00,2023-10-22 11:25:00,0 days 06:05:00,216.0,1,1. Air France
11,2023-10-22 07:25:00,2023-10-22 11:15:00,0 days 04:50:00,236.0,1,1. Finnair 2. Scandinavian Airlines
12,2023-10-22 12:45:00,2023-10-22 06:00:00,0 days 06:15:00,219.0,1,1. Lufthansa
13,2023-10-22 02:00:00,2023-10-22 06:40:00,0 days 05:40:00,256.0,1,1. KLM
14,2023-10-22 06:10:00,2023-10-22 09:45:00,0 days 04:35:00,346.0,1,1. KLM
15,2023-10-22 07:00:00,2023-10-22 01:35:00,0 days 07:35:00,208.0,1,1. KLM
16,2023-10-22 08:10:00,2023-10-22 12:30:00,0 days 05:20:00,270.0,1,1. Finnair 2. Lufthansa
17,2023-10-22 10:55:00,2023-10-22 03:35:00,0 days 05:40:00,325.0,1,1. Scandinavian Airlines 2. Lufthansa
18,2023-10-22 10:55:00,2023-10-22 03:35:00,0 days 05:40:00,332.0,1,1. Lufthansa
19,2023-10-22 06:10:00,2023-10-22 01:00:00,0 days 07:50:00,219.0,1,1. Lufthansa
20,2023-10-22 12:45:00,2023-10-22 07:00:00,0 days 07:15:00,263.0,1,1. Lufthansa
21,2023-10-22 12:50:00,2023-10-22 07:45:00,0 days 07:55:00,255.0,1,1. Scandinavian Airlines
22,2023-10-22 02:00:00,2023-10-22 09:45:00,0 days 08:45:00,225.0,1,1. KLM
23,2023-10-22 10:40:00,2023-10-22 03:10:00,0 days 05:30:00,320.0,1,1. Finnair 2. Lufthansa
24,2023-10-22 11:00:00,2023-10-22 02:45:00,0 days 04:45:00,469.0,1,1. Finnair 2. Scandinavian Airlines
25,2023-10-22 10:50:00,2023-10-22 06:40:00,0 days 08:50:00,228.0,1,1. KLM
26,2023-10-22 06:10:00,2023-10-22 03:00:00,0 days 09:50:00,233.0,1,1. Lufthansa
27,2023-10-22 10:50:00,2023-10-22 05:15:00,0 days 07:25:00,317.0,1,1. KLM
28,2023-10-22 04:00:00,2023-10-22 10:40:00,0 days 07:40:00,326.0,1,1. British Airways
29,2023-10-22 10:55:00,2023-10-22 04:00:00,0 days 06:05:00,296.0,2,1. Lufthansa
30,2023-10-22 08:10:00,2023-10-22 01:35:00,0 days 06:25:00,306.0,1,1. Finnair 2. KLM
31,2023-10-22 06:10:00,2023-10-22 04:00:00,0 days 10:50:00,233.0,1,1. Lufthansa
32,2023-10-22 04:00:00,2023-10-23 12:05:00,0 days 09:05:00,230.0,1,1. Finnair 2. Ryanair
33,2023-10-22 10:55:00,2023-10-22 03:35:00,0 days 05:40:00,587.0,1,1. Scandinavian Airlines
34,2023-10-22 09:15:00,2023-10-22 03:00:00,0 days 06:45:00,300.0,1,1. Finnair 2. Lufthansa
35,2023-10-22 11:30:00,2023-10-22 05:20:00,0 days 06:50:00,298.0,1,1. Finnair 2. Ryanair
36,2023-10-22 10:55:00,2023-10-22 07:45:00,0 days 09:50:00,217.0,2,1. Scandinavian Airlines
37,2023-10-22 06:10:00,2023-10-22 12:00:00,0 days 06:50:00,418.0,1,1. Lufthansa
38,2023-10-22 12:45:00,2023-10-22 08:00:00,0 days 08:15:00,307.0,1,1. Lufthansa
39,2023-10-22 12:45:00,2023-10-22 10:00:00,0 days 10:15:00,261.0,1,1. Lufthansa
40,2023-10-22 10:55:00,2023-10-22 06:55:00,0 days 09:00:00,325.0,1,1. Scandinavian Airlines 2. Lufthansa
41,2023-10-22 10:55:00,2023-10-22 06:00:00,0 days 08:05:00,270.0,2,1. Lufthansa
42,2023-10-22 02:10:00,2023-10-22 09:05:00,0 days 07:55:00,244.0,2,1. Norwegian 2. Ryanair
43,2023-10-22 10:55:00,2023-10-22 06:55:00,0 days 09:00:00,390.0,1,1. Lufthansa
44,2023-10-22 11:25:00,2023-10-22 06:45:00,0 days 08:20:00,431.0,1,1. British Airways
45,2023-10-22 10:55:00,2023-10-22 07:45:00,0 days 09:50:00,246.0,2,1. Scandinavian Airlines
46,2023-10-22 10:55:00,2023-10-22 07:00:00,0 days 09:05:00,303.0,2,1. Lufthansa
47,2023-10-22 12:50:00,2023-10-22 07:05:00,0 days 07:15:00,378.0,2,1. SWISS
48,2023-10-22 12:50:00,2023-10-22 09:50:00,0 days 10:00:00,305.0,2,1. Austrian Airlines
49,2023-10-22 12:00:00,2023-10-22 12:00:00,0 days 06:55:00,493.0,2,1. Undisclosed Carrier
